geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
147435,zh-CN,AS,亚洲,AZ,阿塞拜疆,NX,纳希切万自治共和国,,,纳希切万自治共和国,,Asia/Baku,0
147611,zh-CN,AS,亚洲,AZ,阿塞拜疆,LER,列里克區,,,,,Asia/Baku,0
147622,zh-CN,AS,亚洲,AZ,阿塞拜疆,LAN,,,,,,Asia/Baku,0
148445,zh-CN,AS,亚洲,AZ,阿塞拜疆,AST,,,,阿斯塔拉,,Asia/Baku,0
148449,zh-CN,AS,亚洲,AZ,阿塞拜疆,XCI,,,,,,Asia/Baku,0
148730,zh-CN,AF,非洲,TZ,坦桑尼亚,15,,,,桑给巴尔市,,Africa/Dar_es_Salaam,0
148842,zh-CN,AF,非洲,TZ,坦桑尼亚,06,,,,,,Africa/Dar_es_Salaam,0
149129,zh-CN,AF,非洲,TZ,坦桑尼亚,27,盖塔区,,,,,Africa/Dar_es_Salaam,0
149402,zh-CN,AF,非洲,TZ,坦桑尼亚,,,,,,,Africa/Dar_es_Salaam,0
149590,zh-CN,AF,非洲,TZ,坦桑尼亚,,,,,,,Africa/Dar_es_Salaam,0
149606,zh-CN,AF,非洲,TZ,坦桑尼亚,25,坦噶区,,,坦噶,,Africa/Dar_es_Salaam,0
149658,zh-CN,AF,非洲,TZ,坦桑尼亚,24,,,,塔波拉,,Africa/Dar_es_Salaam,0
149703,zh-CN,AF,非洲,TZ,坦桑尼亚,20,,,,松巴萬加,,Africa/Dar_es_Salaam,0
149792,zh-CN,AF,非洲,TZ,坦桑尼亚,30,锡米尤区,,,,,Africa/Dar_es_Salaam,0
149879,zh-CN,AF,非洲,TZ,坦桑尼亚,23,,,,,,Africa/Dar_es_Salaam,0
149880,zh-CN,AF,非洲,TZ,坦桑尼亚,22,,,,,,Africa/Dar_es_Salaam,0
150602,zh-CN,AF,非洲,TZ,坦桑尼亚,19,,,,,,Africa/Dar_es_Salaam,0
151479,zh-CN,AF,非洲,TZ,坦桑尼亚,29,,,,,,Africa/Dar_es_Salaam,0
151610,zh-CN,AF,非洲,TZ,坦桑尼亚,01,阿鲁沙区,,,,,Africa/Dar_es_Salaam,0
152224,zh-CN,AF,非洲,TZ,坦桑尼亚,18,,,,姆万扎,,Africa/Dar_es_Salaam,0
152451,zh-CN,AF,非洲,TZ,坦桑尼亚,13,,,,,,Africa/Dar_es_Salaam,0
152755,zh-CN,AF,非洲,TZ,坦桑尼亚,15,,,,,,Africa/Dar_es_Salaam,0
153168,zh-CN,AF,非洲,TZ,坦桑尼亚,28,卡塔维区,,,,,Africa/Dar_es_Salaam,0
153209,zh-CN,AF,非洲,TZ,坦桑尼亚,09,,,,莫希,,Africa/Dar_es_Salaam,0
153220,zh-CN,AF,非洲,TZ,坦桑尼亚,16,莫罗戈罗区,,,莫罗戈罗,,Africa/Dar_es_Salaam,0
154039,zh-CN,AF,非洲,TZ,坦桑尼亚,25,坦噶区,,,,,Africa/Dar_es_Salaam,0
154380,zh-CN,AF,非洲,TZ,坦桑尼亚,14,,,,,,Africa/Dar_es_Salaam,0
155101,zh-CN,AF,非洲,TZ,坦桑尼亚,29,,,,,,Africa/Dar_es_Salaam,0
155405,zh-CN,AF,非洲,TZ,坦桑尼亚,04,,,,,,Africa/Dar_es_Salaam,0
156479,zh-CN,AF,非洲,TZ,坦桑尼亚,25,坦噶区,,,,,Africa/Dar_es_Salaam,0
156974,zh-CN,AF,非洲,TZ,坦桑尼亚,30,锡米尤区,,,,,Africa/Dar_es_Salaam,0
